"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/17/1980","150031001","1","0.005","ppm","4","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/18/1980","150031001","1","0.019","ppm","16","18","75.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/19/1980","150031001","1","0.022","ppm","19","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/20/1980","150031001","1","0.017","ppm","14","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/21/1980","150031001","1","0.032","ppm","27","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/23/1980","150031001","1","0.03","ppm","25","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/24/1980","150031001","1","0.027","ppm","23","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/26/1980","150031001","1","0.014","ppm","12","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/27/1980","150031001","1","0.014","ppm","12","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/28/1980","150031001","1","0.009","ppm","8","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/29/1980","150031001","1","0.005","ppm","4","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/30/1980","150031001","1","0.011","ppm","9","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"01/31/1980","150031001","1","0.012","ppm","10","19","79.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/08/1980","150031001","1","0.005","ppm","4","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/09/1980","150031001","1","0.012","ppm","10","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/10/1980","150031001","1","0.022","ppm","19","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/11/1980","150031001","1","0.019","ppm","16","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/12/1980","150031001","1","0.008","ppm","7","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/13/1980","150031001","1","0.02","ppm","17","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/14/1980","150031001","1","0.011","ppm","9","18","75.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/15/1980","150031001","1","0.024","ppm","20","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/16/1980","150031001","1","0.03","ppm","25","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/17/1980","150031001","1","0.024","ppm","20","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/18/1980","150031001","1","0.015","ppm","13","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/19/1980","150031001","1","0.008","ppm","7","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/20/1980","150031001","1","0.011","ppm","9","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/21/1980","150031001","1","0.005","ppm","4","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/22/1980","150031001","1","0.006","ppm","5","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/23/1980","150031001","1","0.005","ppm","4","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/24/1980","150031001","1","0.007","ppm","6","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/25/1980","150031001","1","0.016","ppm","14","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/26/1980","150031001","1","0.016","ppm","14","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/27/1980","150031001","1","0.007","ppm","6","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/28/1980","150031001","1","0.031","ppm","26","23","96.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"02/29/1980","150031001","1","0.033","ppm","28","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"03/01/1980","150031001","1","0.036","ppm","31","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
"03/02/1980","150031001","1","0.025","ppm","21","24","100.0000","44201","Ozone","26180","Honolulu, HI","15","Hawaii","003","Honolulu","21.30758","-157.85542"
