<<<<<<< HEAD
"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/27/1991","170310001","1","0.016","ppm","14","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"03/28/1991","170310001","1","0.019","ppm","16","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"03/29/1991","170310001","1","0.025","ppm","21","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"03/30/1991","170310001","1","0.026","ppm","22","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"03/31/1991","170310001","1","0.027","ppm","23","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"04/01/1991","170310001","1","0.025","ppm","21","18","75.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"04/03/1991","170310001","1","0.021","ppm","18","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"04/05/1991","170310001","1","0.038","ppm","32","18","75.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"04/06/1991","170310001","1","0.049","ppm","42","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"04/07/1991","170310001","1","0.027","ppm","23","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"04/08/1991","170310001","1","0.013","ppm","11","19","79.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"04/10/1991","170310001","1","0.023","ppm","19","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
"04/11/1991","170310001","1","0.024","ppm","20","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847"
