,DeviceID,created,lastEdited,uploaded,pot_img,loc_lat,loc_lon,loc_alt,loc_acc,loc_provider,loc_bearing,notes,Beta_key,Pothole Area (ft^2),Unnamed: 14,From John 8-27-15 from old form,Unnamed: 16,Surveyor,address
0,3becb4c2462ecd3a,1.44e+12,,7/20/2015 18:22:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_4ebedeb4-e0a2-434f-8538-cc33e9404612.jpg,41.87191639,-87.65176381,147.0,4.0,gps,,1,0e113c55-fad5-48ff-9f93-aa96a9e705c9,,,False,,John,1010 W Polk St
1,3becb4c2462ecd3a,1.44e+12,,7/20/2015 18:22:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_7f2c4902-1240-4f4d-af56-ae278163ede7.jpg,41.87192116,-87.651754,148.0,9.0,gps,,,9e2eecfd-b4a5-42dc-a7ac-dce0009e81f1,,,False,,John,1010 W Polk St
2,3becb4c2462ecd3a,1.44e+12,,7/20/2015 18:22:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_15d491f6-1ed4-49b9-a25a-29009efa5302.jpg,41.8719071,-87.65178202,146.0,3.0,gps,,,26835811-a1f1-43ee-b103-34553408c3de,,,False,,John,1010 W Polk St
3,3becb4c2462ecd3a,1.44e+12,7/23/2015 19:46:00,7/20/2015 18:22:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_3451f4f2-458f-443c-81b7-63c77431e479.jpg,41.87191104,-87.65224058,144.0,6.0,gps,,,6dcc1293-1795-4038-bb10-5977efef9dec,,,False,,John,1020 W Polk St
4,3becb4c2462ecd3a,1.44e+12,,7/20/2015 18:22:00,,41.8717764,-87.6560218,,26.00300026,network,,,e359f60b-e00b-4ee0-a83d-632d4a9dbd6d,,,False,,John,1200-1236 W Polk St
5,3becb4c2462ecd3a,1.44e+12,,7/20/2015 18:22:00,,41.86605083,-87.66131748,148.0,5.0,gps,,,cec0a380-5b70-4b43-994b-46537dee44c1,,,False,,John,1345-1399 W Washburne Ave
6,3becb4c2462ecd3a,1.44e+12,,7/20/2015 18:22:00,,41.87188238,-87.65446167,149.0,10.0,gps,,Not Sure,e37d3a3d-c145-4ded-84e4-d24e7cd57b8a,,,False,,John,1108 W Polk St
7,3becb4c2462ecd3a,1.44e+12,7/23/2015 19:46:00,7/20/2015 18:22:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_73682e57-3ce1-427d-8f51-b3169268e205.jpg,41.86611762,-87.66051569,152.0,3.0,gps,,,2c09b9ce-721c-4f9d-8f4e-fb224edc69b1,,,False,,John,1344-1354 W Washburne Ave
8,3becb4c2462ecd3a,1.44e+12,,7/20/2015 18:22:00,,0.0,0.0,,,,,,f6b4594e-2c7c-452d-a1e5-5cde2a91f59f,,,False,,John,
9,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87093285,-87.65832556,147.0,10.0,gps,,,7a7eb606-4fbe-4a47-a01d-ae0c48a86f52,,,False,,John,905 S Lytle St
10,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87097249,-87.65828461,140.0,9.0,gps,,,e7c1712b-e586-49c2-be80-dbe01a787aed,,,False,,John,905 S Lytle St
11,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87113516,-87.66016803,151.0,6.0,gps,,,8e40bc7c-00c7-4aff-b48e-8589d118aa49,,,False,,John,869-905 S Ada St
12,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87090803,-87.66016938,161.0,11.0,gps,,General Road Damage,8e6c1f69-8d3e-47da-ab67-09ea877d0ed7,,,False,,John,869-905 S Ada St
13,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87036586,-87.65990442,161.0,8.0,gps,,,ee9c3b36-2a0f-4194-ada1-0953fe313515,,,False,,John,869-905 S Ada St
14,3becb4c2462ecd3a,1.44e+12,7/23/2015 19:46:00,7/20/2015 21:00:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_2c16f2b3-3a71-4d83-8db1-2510299fbfb0.jpg,41.87042305,-87.66003429,161.0,10.0,gps,,General Road Damage,3213fc58-de69-4b59-9511-92cd398bf990,,,False,,John,869-905 S Ada St
15,3becb4c2462ecd3a,1.44e+12,7/23/2015 19:46:00,7/20/2015 21:00:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_2c174d64-efa2-4f7b-9192-e1218855ea3e.jpg,41.87018996,-87.66011475,151.0,6.0,gps,,,33898a18-b824-4dfd-97df-2efc2b8db1bb,,,False,,John,907-999 S Ada St
16,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,http://plus.epicollect.net//RDCEP_Urban_Research_2015/Potholes/__getImage?img=Potholes_pot_img_1c8c359f-ec37-4272-9db5-5898c3e530ce.jpg,41.8700289,-87.66009619,152.0,14.0,gps,,,0268420a-3a1f-4d0e-a5d6-90e1edfec0bd,,,False,,John,907-999 S Ada St
17,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87177093,-87.66416655,160.0,6.0,gps,,,70368e96-b31a-47ba-8e05-54c36c51ed9d,,,False,,John,752-798 S Laflin St
18,3becb4c2462ecd3a,1.44e+12,,7/20/2015 21:00:00,,41.87202343,-87.66420899,157.0,17.0,gps,,,b1190f70-15d7-473f-80ec-e6245f6a1779,,,False,,John,752-798 S Laflin St
