,index,Unnamed: 0,BlockNameBegin,BlockNameEnd,BlockNS,BlockEW,Time,NeighborhoodWatchSigns,WeCallPolice,TresspassingSign,DogSign,AlarmSystem, ForRent,ForSale,FallenTree,Construction,VacantLots,IllegalDumping,BoardedUp,NoSolicitation,Notes,Date,Surveyor,OfficialBoolean,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Latitude,Longitude,beat_number,ward_number,census_tract,CrimeCount (per beat)
0,0,0,Wolcott/WickerPark,Wolcott/Ellen,1300N,1900W,11:20,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,FALSE,,,,,,41.90664375,-87.67339602,1424,1,241400,1289
1,1,1,Evergreen/WickerPark,Evergreen/Milwaukee,1400N,1900W,11:32,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,FALSE,,,,,,41.90713088,-87.67456955,1424,1,241400,1289
2,2,2,Beach/Wood,Beach/Paulina,1400N,1800W,11:42,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/14/2015,Anthony,FALSE,,,,,,41.90755158,-87.67246605,1433,2,241500,830
3,3,3,Bosworth/LeMoyne,Bosworth/Blackhawk,1500N,1500W,12:06,0,0,null,null,null,3,0,0,0,0,0,0,null,,7/14/2015,Anthony,FALSE,,,,,,41.90882253,-87.66641684,1433,2,241600,830
4,4,4,North/Hoyne,Pierce/Hoyne,1600N,2100W,12:48,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,FALSE,,,,,,41.91043005,-87.67995894,1424,2,241300,1289
5,5,5,LeMoyne/Claremont,LeMoyne/Western,1500N,2300W,13:20,0,0,null,null,null,0,0,1,0,0,0,0,null,,7/14/2015,Anthony,FALSE,,,,,,41.90850369,-87.6859373,1424,1,241200,1289
6,6,6,Lemoyne/Maplewood,Hirsch/Maplewood,1500N,2500W,14:47,0,0,null,null,null,1,1,0,0,1,0,0,null,,7/14/2015,Anthony,FALSE,,,,,,41.90843283,-87.69085728,1423,1,241100,738
7,7,7,Potomac/Washtenaw,Potomac/California,1300N,2800W,15:19,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/14/2015,Anthony,FALSE,,,,,,41.90478382,-87.69444872,1423,26,242600,738
8,8,8,Honore/Thomas,Honore/Augusta,1000N,1800W,9:56,2,1,null,null,null,1,1,1,1,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.90142265,-87.67352888,1212,1,242200,777
9,9,9,Augusta/Hermitage,Augusta/Paulina,900N,1700W,10:13,0,0,null,null,null,1,0,0,0,1,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.89964242,-87.67102682,1213,1,242100,746
10,10,10,Hermitage/Pearson,Hermitage/Chicago,800N,1700W,10:30,0,0,null,null,null,0,2,0,1,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.89728208,-87.67098696,1213,1,242100,746
11,11,11,Paulina/Erie,Paulina/Wood,600N,1700W,10:41,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.894799,-87.669683,1215,1,243200,742
12,12,12,Noble/Erie,Erire/Ada,600N,1300W,11:04,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.8934205,-87.66229841,1215,1,243400,742
13,13,13,Noble/Erie,Noble/Huron,600N,1400W,11:10,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.8934205,-87.66229841,1215,1,243400,742
14,14,14,Noble/Chestnut,Noble/Walton,900N,1400W,11:19,0,0,null,null,null,0,0,0,0,0,0,2,null,,7/13/2015,Gustavo,TRUE,,,,,,41.89797291,-87.66246669,1213,1,242000,746
15,15,15,Kingsbury/Superior,Kingsbury/Larabee,700N,500W,11:55,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.89549299,-87.64147598,1831,42,81800,1602
16,16,16,Hudson/Chestnut,Hudson/Chicago,800N,400W,12:13,0,0,null,null,null,0,0,0,0,0,0,6,null,,7/13/2015,Gustavo,TRUE,,,,,,41.89812348,-87.63995704,1823,27,81900,495
17,17,17,Granville/Keystone,DeadEnd,6150N,4030W,13:43,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.99368432,-87.73010635,1711,39,120300,614
18,18,18,Menomonee/Orleans,Menomonee/Sedgwick,1800N,300W,14:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.91475219,-87.63748598,1814,43,71500,723
19,19,19,Commonwealth/Belden,Commonwealth/Fullerton,2300N,300W,14:24,0,0,null,null,null,2,0,0,0,0,0,0,null,,7/13/2015,Gustavo,TRUE,,,,,,41.92375073,-87.6380971,1814,43,71400,723
