BlockNameBegin,BlockNameEnd,BlockNS,BlockEW,NeighborhoodWatchSigns,WeCallPolice, ForRent,ForSale,FallenTree,Construction,VacantLots,IllegalDumping,BoardedUp,Time,Date,Surveyor,OfficialBoolean,Zipcode
Honore/Thomas,Honore/Augusta,1000N,1800W,2,1,1,1,1,1,0,0,0,9:56,7/13/2015,Gustavo,TRUE,60622
Augusta/Hermitage,Augusta/Paulina,900N,1700W,0,0,1,0,0,0,1,0,0,10:13,7/13/2015,Gustavo,TRUE,60622
Hermitage/Pearson,Hermitage/Chicago,800N,1700W,0,0,0,2,0,1,0,0,0,10:30,7/13/2015,Gustavo,TRUE,60622
Paulina/Erie,Paulina/Wood,600N,1700W,0,0,0,1,0,0,0,0,0,10:41,7/13/2015,Gustavo,TRUE,60622
Noble/Erie,Erire/Ada,600N,1300W,0,0,0,1,0,0,0,0,0,11:04,7/13/2015,Gustavo,TRUE,60642
Noble/Erie,Noble/Huron,600N,1400W,0,0,0,0,0,0,0,0,,11:10,7/13/2015,Gustavo,TRUE,60642
Noble/Chestnut,Noble/Walton,900N,1400W,0,0,0,0,0,0,0,0,2,11:19,7/13/2015,Gustavo,TRUE,60642
Kingsbury/Superior,Kingsbury/Larabee,700N,500W,0,0,0,0,0,0,0,0,0,11:55,7/13/2015,Gustavo,TRUE,60654
Hudson/Chestnut,Hudson/Chicago,800N,400W,0,0,0,0,0,0,0,0,6,12:13,7/13/2015,Gustavo,TRUE,60610
Hudson/Evergreen,Hudson/Blackhawk,1400N,400W,0,0,0,0,0,0,0,0,0,13:43,7/13/2015,Gustavo,TRUE,60610
Menomonee/Orleans,Menomonee/Sedgwick,1800N,300W,0,0,0,0,0,0,0,0,0,14:00,7/13/2015,Gustavo,TRUE,60614
Commonwealth/Belden,Commonwealth/Fullerton,2300N,300W,0,0,2,0,0,0,0,0,0,14:24,7/13/2015,Gustavo,TRUE,60614
Belden/Cambridge,Dead End,2300N,500W,0,0,0,0,0,0,0,0,0,14:39,7/13/2015,Gustavo,TRUE,60614
Belden/Geneva,Belden/Orchard,2300N,600W,0,0,0,4,0,0,0,0,0,14:48,7/13/2015,Gustavo,TRUE,60614
Kemper/Geneva,Kemper/Orchard,2300N,600W,0,0,0,0,0,0,0,0,0,15:00,7/13/2015,Gustavo,TRUE,60614
Orchard/Wrightwood,Orchard/Drummond,2600N,600W,0,0,1,0,0,0,0,0,0,15:25,7/13/2015,Gustavo,TRUE,60614
Cambridge/Diversy,Cambridge/Surf,2800N,500W,0,0,0,2,0,0,0,0,0,15:43,7/13/2015,Gustavo,TRUE,60614
Wolcott/Ellen,Wolcott/Marion,1300N,1900W,0,0,0,1,0,0,0,0,0,11:10,7/14/2015,Anthony,TRUE,60622
Wolcott/WickerPark,Wolcott/Ellen,1300N,1900W,0,0,0,0,0,0,0,0,0,11:20,7/14/2015,Anthony,FALSE,60622
Schiller/Damen,Schiller/WickerPark,1400N,2000W,0,0,0,0,0,2,0,0,2,11:29,7/14/2015,Anthony,TRUE,60622
Evergreen/WickerPark,Evergreen/Milwaukee,1400N,1900W,0,0,0,0,0,0,0,0,0,11:32,7/14/2015,Anthony,FALSE,60622
Wood/Milwaukee,Wood/Julian,1400N,1800W,0,0,0,1,0,0,0,0,0,11:35,7/14/2015,Anthony,TRUE,60622
Beach/Wood,Beach/Paulina,1400N,1800W,0,0,1,0,0,0,0,0,0,11:42,7/14/2015,Anthony,FALSE,60622
Paulina/Beach,Paulina/Blackhawk,1400N,1700W,0,0,1,0,0,0,0,0,0,11:46,7/14/2015,Anthony,TRUE,60622
Bosworth/Blackhawk,Bosworth/West Division,1400N,1500W,0,0,1,0,0,0,1,0,0,11:56,7/14/2015,Anthony,TRUE,60642
Bosworth/LeMoyne,Bosworth/Blackhawk,1500N,1500W,0,0,3,0,0,0,0,0,0,12:06,7/14/2015,Anthony,FALSE,60642
Greenview/LeMoyne,Bosworth/LeMoyne,1500N,1500W,0,0,0,0,0,0,0,0,0,12:10,7/14/2015,Anthony,TRUE,60642
North/Hoyne,Pierce/Hoyne,1600N,2100W,0,0,0,0,0,0,0,0,0,12:48,7/14/2015,Anthony,FALSE,60647
Pierce/Hoyne,LeMoyne/Hoyne,1500N,2100W,0,0,0,0,0,0,0,0,0,12:56,7/14/2015,Anthony,TRUE,60622
LeMoyne/Claremont,LeMoyne/Western,1500N,2300W,0,0,0,0,1,0,0,0,0,13:20,7/14/2015,Anthony,FALSE,60622
Lemoyne/Maplewood,Hirsch/Maplewood,1500N,2500W,0,0,1,1,0,0,1,0,0,14:47,7/14/2015,Anthony,FALSE,60622
Hirsch/Maplewood,Potomac/Maplewood,1400N,2500W,0,1,0,0,0,1,1,0,0,14:56,7/14/2015,Anthony,TRUE,60622
Potomac/Maplewood,Potomac/Washtenaw,1300N,2500W,5,1,0,0,0,0,4,0,0,15:06,7/14/2015,Anthony,TRUE,60622
Potomac/Washtenaw,Potomac/California,1300N,2800W,0,0,0,0,0,0,0,0,0,15:19,7/14/2015,Anthony,FALSE,60622
Thomas/Washtenaw,Cortez/Washtenaw,1100N,2700W,0,0,0,0,0,0,0,0,0,15:30,7/14/2015,Anthony,TRUE,60622
Campbell/Augusta,Western/Augusta,1000N,2500W,0,1,0,2,0,0,0,0,0,15:45,7/14/2015,Anthony,TRUE,60622
