ProjectID,Prj_Name,Prj_Description,MLocID,MLoc_Type,MLoc_Description,River_Name,RiverMile,NavigationPool,NavMile,Latitude,Longitude,HRDAT_Name,HCMETH_Name,HUC_8,HUC_12,ActivityID,DateTime,TimeZone,Valid_Time,Activity_Type,Act_RelDepth,Act_Depth_Height,Act_Depth_Height_Unit,SCEQP_Name,ResultID,Result_Flag,Result_Qualifier,ResultValue,Result_Unit,Result_Lab_Name,Result_Lab_Comment,CharacteristicID,Type,ANLMTH_ID,ANLMTH_Name,ANLMTH_Desc,ANLMTH_Ref
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-034,River/Stream,Centerline upstream of Vermilion River confluence,Illinois River,226.9,Peoria,226.9,41.3206,-89.0607,NAD83,Interpolation-USACE Navigation Charts,7130001,71300010203,07-000378.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,399837,,,0.61,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-006,River/Stream,Centerline below Brandon Road L&D from Brandon Road bridge,Des Plaines River,12.31,Dresden Island,285.8,41.5023,-88.1046,NAD83,Interpolation-USACE Navigation Charts,7120004,71200041103,07-001066.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,397881,,,0.22,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-011,River/Stream,Centerline downstream of narrows and upstream of Kankakee River confluence,Des Plaines River,0.97,Dresden Island,273.5,41.387,-88.2492,NAD83,Interpolation-USACE Navigation Charts,7120004,71200041103,07-001206.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,398277,,,0.3,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-002,River/Stream,"Centerline below Lockport L&D, upstream of Des Plaines River confluence from Elgin Joliet and Eastern Railway bridge",Chicago Sanitary & Ship Canal,0,Brandon Road,290,41.5549,-88.0775,NAD83,Interpolation-USACE Navigation Charts,7120004,71200040706,07-000946.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,401353,,,0.28,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-016,River/Stream,Centerline at Peacock Slough light and daymark #265.0,Illinois River,265,Marseilles,265,41.3617,-88.3942,NAD83,Interpolation-USACE Navigation Charts,7120005,71200050201,07-001346.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,398759,,,0.4,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-023,River/Stream,Above Marseilles Dam,Illinois River,247,Marseilles,247,41.322913,-88.707148,NAD83,Interpolation-USACE Navigation Charts,7120005,71200050902,07-000037.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,399804,,,0.61,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-032,River/Stream,Starved Rock L&D above dam,Illinois River,231.1,Starved Rock,231.1,41.3213,-88.9852,NAD83,Interpolation-USACE Navigation Charts,7130001,71300010203,07-000322.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,399660,,,0.65,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-004,River/Stream,Centerline above Brandon Road L&D from McDonough Street bridge,Des Plaines River,13.35,Brandon Road,287.3,41.5161,-88.0886,NAD83,Interpolation-USACE Navigation Charts,7120004,71200040707,07-001006.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,397702,,,0.24,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-047,River/Stream,Centerline at Chillicothe Island light #179.0,Illinois River,179,Peoria,179,40.8954,-89.4902,NAD83,Interpolation-USACE Navigation Charts,7130001,71300011702,07-000742.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,400788,,,0.93,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-013,River/Stream,At Dresden Island L&D above dam,Illinois River,271.6,Dresden Island,271.6,41.3997,-88.2786,NAD83,Interpolation-USACE Navigation Charts,7120005,71200050201,07-001262.5,7/11/1972 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle,398457,,,0.28,mg/L,ISWS Peoria Laboratory,,37,"Water-Nitrogen, Dissolved Nitrite as N",12,Nitrogen (Nitrite) by Colorimetry,Diazotization / filtered in field - 0.45 micron filter,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
