ProjectID,Prj_Name,Prj_Description,MLocID,MLoc_Type,,River_Name,RiverMile,NavigationPool,NavMile,Latitude,Longitude,HRDAT_Name,HCMETH_Name,HUC_8,HUC_12,ActivityID,DateTime,TimeZone,Valid_Time,Activity_Type,Act_RelDepth,Act_Depth_Height,Act_Depth_Height_Unit,SCEQP_Name,ResultID,Result_Flag,Result_Qualifier,ResultValue,Result_Unit,Result_Lab_Name,Result_Lab_Comment,CharacteristicID,Type,ANLMTH_ID,ANLMTH_Name,ANLMTH_Desc,ANLMTH_Ref
3,ISWS Illinois River at Peoria Monitoring,"A long-term monitoring program collecting water quality data on the Illinois River at Peoria Illinois from 1965-1994. Samples were collected weekly and analyzed for multiple WQ parameters, bacteria, and algal populations. Most samples were collected mid-morning. These data provide a historical long-term benchmark on water quality characteristics of the Illinois River at Peoria. Limited data collection continued until 1999.",03-001,River/Stream,"Right descending bank upstream of Cedar St. bridge (State Highways 29, 8, 116) at ISWS Peoria Laboratory",Illinois River,161.6,Peoria,161.6,40.678339,-89.600783,NAD83,Interpolation-USACE Navigation Charts,7130003,71300030304,03-000656.3,6/1/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,391702,,,210,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
3,ISWS Illinois River at Peoria Monitoring,"A long-term monitoring program collecting water quality data on the Illinois River at Peoria Illinois from 1965-1994. Samples were collected weekly and analyzed for multiple WQ parameters, bacteria, and algal populations. Most samples were collected mid-morning. These data provide a historical long-term benchmark on water quality characteristics of the Illinois River at Peoria. Limited data collection continued until 1999.",03-001,River/Stream,"Right descending bank upstream of Cedar St. bridge (State Highways 29, 8, 116) at ISWS Peoria Laboratory",Illinois River,161.6,Peoria,161.6,40.678339,-89.600783,NAD83,Interpolation-USACE Navigation Charts,7130003,71300030304,03-000658.3,6/7/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,391738,,,220,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
3,ISWS Illinois River at Peoria Monitoring,"A long-term monitoring program collecting water quality data on the Illinois River at Peoria Illinois from 1965-1994. Samples were collected weekly and analyzed for multiple WQ parameters, bacteria, and algal populations. Most samples were collected mid-morning. These data provide a historical long-term benchmark on water quality characteristics of the Illinois River at Peoria. Limited data collection continued until 1999.",03-001,River/Stream,"Right descending bank upstream of Cedar St. bridge (State Highways 29, 8, 116) at ISWS Peoria Laboratory",Illinois River,161.6,Peoria,161.6,40.678339,-89.600783,NAD83,Interpolation-USACE Navigation Charts,7130003,71300030304,03-000664.3,6/28/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,391846,,,640,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
3,ISWS Illinois River at Peoria Monitoring,"A long-term monitoring program collecting water quality data on the Illinois River at Peoria Illinois from 1965-1994. Samples were collected weekly and analyzed for multiple WQ parameters, bacteria, and algal populations. Most samples were collected mid-morning. These data provide a historical long-term benchmark on water quality characteristics of the Illinois River at Peoria. Limited data collection continued until 1999.",03-001,River/Stream,"Right descending bank upstream of Cedar St. bridge (State Highways 29, 8, 116) at ISWS Peoria Laboratory",Illinois River,161.6,Peoria,161.6,40.678339,-89.600783,NAD83,Interpolation-USACE Navigation Charts,7130003,71300030304,03-000666.3,7/6/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,391882,,,100,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
3,ISWS Illinois River at Peoria Monitoring,"A long-term monitoring program collecting water quality data on the Illinois River at Peoria Illinois from 1965-1994. Samples were collected weekly and analyzed for multiple WQ parameters, bacteria, and algal populations. Most samples were collected mid-morning. These data provide a historical long-term benchmark on water quality characteristics of the Illinois River at Peoria. Limited data collection continued until 1999.",03-001,River/Stream,"Right descending bank upstream of Cedar St. bridge (State Highways 29, 8, 116) at ISWS Peoria Laboratory",Illinois River,161.6,Peoria,161.6,40.678339,-89.600783,NAD83,Interpolation-USACE Navigation Charts,7130003,71300030304,03-000668.3,7/12/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,391918,,,240,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
3,ISWS Illinois River at Peoria Monitoring,"A long-term monitoring program collecting water quality data on the Illinois River at Peoria Illinois from 1965-1994. Samples were collected weekly and analyzed for multiple WQ parameters, bacteria, and algal populations. Most samples were collected mid-morning. These data provide a historical long-term benchmark on water quality characteristics of the Illinois River at Peoria. Limited data collection continued until 1999.",03-001,River/Stream,"Right descending bank upstream of Cedar St. bridge (State Highways 29, 8, 116) at ISWS Peoria Laboratory",Illinois River,161.6,Peoria,161.6,40.678339,-89.600783,NAD83,Interpolation-USACE Navigation Charts,7130003,71300030304,03-000670.3,7/19/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,391958,,,530,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
3,ISWS Illinois River at Peoria Monitoring,"A long-term monitoring program collecting water quality data on the Illinois River at Peoria Illinois from 1965-1994. Samples were collected weekly and analyzed for multiple WQ parameters, bacteria, and algal populations. Most samples were collected mid-morning. These data provide a historical long-term benchmark on water quality characteristics of the Illinois River at Peoria. Limited data collection continued until 1999.",03-001,River/Stream,"Right descending bank upstream of Cedar St. bridge (State Highways 29, 8, 116) at ISWS Peoria Laboratory",Illinois River,161.6,Peoria,161.6,40.678339,-89.600783,NAD83,Interpolation-USACE Navigation Charts,7130003,71300030304,03-000672.3,7/26/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,391994,,,640,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-001,River/Stream,Centerline above Lockport L&D from 16th Street bridge. Bridge removed about 1978,Chicago Sanitary & Ship Canal,2.1,Lockport,292.1,41.5826,-88.0687,NAD83,Interpolation-USACE Navigation Charts,7120004,71200040706,07-000891.2,7/28/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,401091,,,13000,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-002,River/Stream,"Centerline below Lockport L&D, upstream of Des Plaines River confluence from Elgin Joliet and Eastern Railway bridge",Chicago Sanitary & Ship Canal,0,Brandon Road,290,41.5549,-88.0775,NAD83,Interpolation-USACE Navigation Charts,7120004,71200040706,07-000923.1,7/28/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,401241,,,12000,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
7,ISWS Upper Illinois Waterway Study,"Water quality data was obtained from field surveys made primarily during July, August, and September of 1971 and July 1972 on the upper part of the Illinois Waterway from Chillicothe (milepoint 179.0) to Lockport (milepoint 292.1). A limited amount of water quality data was collected during several days in late October and early November 1971, and bottom sediment oxygen demand characteristics were investigated during August through November 1972. A limited amount of information related to bacterial and algal characteristics of the upper waterway were also gathered. These data were collected to evaluate the relationship between oxygen demand and available DO resources within the waterway. (ISWS Report of Investigation 79, 1975).",07-004,River/Stream,Centerline above Brandon Road L&D from McDonough Street bridge,Des Plaines River,13.35,Brandon Road,287.3,41.5161,-88.0886,NAD83,Interpolation-USACE Navigation Charts,7120004,71200040707,07-000983.2,7/28/1971 0:00,,N,Sample-Routine,Near Surface,,,Glass Bottle/Sterilized,401444,,,14000,cfu/100mL,ISWS Peoria Laboratory,,22,Water-Fecal Coliforms,9,Fecal Coliform Bacteria by MF,Membrane Filter (MF) technique,"American Public Health Association. 1971. Standard Methods for the Examination of Water and Wastewater. 13th edition, New York, NY."
