
Search Parameters:State in (AS)	
Data Group	Sampling Year	Station Name	Sampling Collection Date	Latitude Decimal Degrees	Longitude Decimal Degrees	Water Column Sampled	Water Measurement Name	Value	Units	Detection Limit Concentration	Collection Depth	Depth Units	Collection Property	Method Used	QA Code	
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Bottom	Ambient photosynthetically active radiation	2180.0	µE/m2/s		25.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Bottom	Dissolved oxygen	6.7	mg/L		25.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Bottom	Salinity	35.8	ppt		25.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Bottom	Temperature	29.5	deg C		25.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Bottom	Water column photosynthetically active radiation	273.0	µE/m2/s		25.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Bottom	pH	7.9	pH units		25.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water1	Ambient photosynthetically active radiation	2229.0	µE/m2/s		1.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water1	Dissolved oxygen	6.75	mg/L		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water1	Salinity	35.8	ppt		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water1	Secchi depth	15.0	m		15.0	m		Secchi disk		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water1	Temperature	29.65	deg C		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water1	Water column photosynthetically active radiation	889.0	µE/m2/s		1.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water1	pH	7.9	pH units		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water2	Ambient photosynthetically active radiation	2224.0	µE/m2/s		2.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water2	Dissolved oxygen	6.75	mg/L		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water2	Salinity	35.8	ppt		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water2	Temperature	29.6	deg C		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water2	Water column photosynthetically active radiation	1191.5	µE/m2/s		2.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water2	pH	7.9	pH units		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water3	Ambient photosynthetically active radiation	2158.0	µE/m2/s		3.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water3	Dissolved oxygen	6.7	mg/L		3.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water3	Salinity	35.8	ppt		3.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water3	Temperature	29.6	deg C		3.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water3	Water column photosynthetically active radiation	981.5	µE/m2/s		3.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water3	pH	7.9	pH units		3.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water4	Ambient photosynthetically active radiation	2145.5	µE/m2/s		4.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water4	Dissolved oxygen	6.65	mg/L		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water4	Salinity	35.8	ppt		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water4	Temperature	29.6	deg C		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water4	Water column photosynthetically active radiation	955.0	µE/m2/s		4.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water4	pH	7.9	pH units		4.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	Ambient photosynthetically active radiation	2157.0	µE/m2/s		5.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	Dissolved oxygen	6.65	mg/L		5.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0001	13-APR-2004	-14.234	-170.672	Mid-water5	Salinity	30.8	ppt		5.0	m		Hydrolab/YSI		
