,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Lat,Long,Type
1077,Z004990,11/13/68,10,14,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1078,Z004991,12/3/68,10,7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1079,Z004993,2/5/69,10,2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1080,Z004994,3/18/69,10,14,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1081,Z004995,4/8/69,10,16.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1082,Z004996,6/5/69,10,21,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1083,Z004998,7/29/69,10,36,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1084,Z004999,8/6/69,10,33,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1085,Z005000,9/10/69,10,18,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1086,Z005001,10/8/69,10,23,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1087,Z005002,11/18/69,10,6.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1088,Z005003,12/17/69,10,3.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1089,Z005005,2/4/70,10,8.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1090,Z005006,3/4/70,10,17.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1091,Z005007,4/15/70,10,12.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1092,Z005008,5/27/70,10,20.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1093,Z005009,6/10/70,10,30,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1094,Z005010,6/23/70,10,26.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1095,Z005011,8/26/70,10,20,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1096,Z005012,9/9/70,10,27.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1097,Z005013,10/6/70,10,23.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1098,Z005014,11/24/70,10,0,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1099,Z005015,12/1/70,10,10.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1100,Z005017,2/27/71,10,0.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1101,Z005018,3/24/71,10,6.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1102,Z005020,5/19/71,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1103,Z005021,6/9/71,10,20.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1104,Z005022,7/20/71,10,32.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1105,Z005023,8/17/71,10,24.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1106,Z005024,9/9/71,10,16.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1107,Z005026,11/10/71,10,18.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1108,Z005027,12/14/71,10,6.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1109,Z005029,2/2/72,10,0.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1110,Z005030,3/14/72,10,13.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1111,Z005031,5/17/72,10,23.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1112,Z005032,7/11/72,10,23.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1113,Z005033,8/23/72,10,28.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1114,Z005034,9/6/72,10,23.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1115,Z005035,10/4/72,10,18.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1116,Z005036,11/14/72,10,5.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1117,Z005037,12/5/72,10,0,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1118,Z005039,2/6/73,10,5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1119,Z005040,3/27/73,10,5.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1120,Z005041,4/11/73,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1121,Z005042,5/2/73,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1122,Z005043,6/6/73,10,17.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1123,Z005044,7/11/73,10,21.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1124,Z005045,8/2/73,10,28.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1125,Z005046,9/11/73,10,24.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1126,Z005047,10/23/73,10,21.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
1127,Z005048,11/23/73,10,12.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,30.654296,-95.160931,Water (Wolf Creek)
