Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
814885,10/27/97,10,19.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2836699,12/29/05,10,16.72,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2836698,12/29/05,10,16.74,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2836697,12/29/05,10,16.77,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2836696,12/29/05,10,16.79,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R228002,11/9/05,10,22.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811378,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811377,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811376,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811375,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811374,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811373,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811372,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811371,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811370,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811369,11/9/05,10,22.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811368,11/9/05,10,22.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811367,11/9/05,10,22.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811366,11/9/05,10,22.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2811365,11/9/05,10,22.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R228076,11/2/05,10,19.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R228075,11/2/05,10,20.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R229827,9/28/05,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R230956,8/10/05,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855328,8/10/05,10,30.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855327,8/10/05,10,30.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855326,8/10/05,10,30.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855325,8/10/05,10,30.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855324,8/10/05,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855323,8/10/05,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855322,8/10/05,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855321,8/10/05,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855320,8/10/05,10,30.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855319,8/10/05,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855318,8/10/05,10,30.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855317,8/10/05,10,30.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855316,8/10/05,10,30.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855315,8/10/05,10,30.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R231837,8/4/05,10,29.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R231830,8/4/05,10,29.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R226579,7/27/05,10,30.65,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2763859,7/27/05,10,30.8,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2763858,7/27/05,10,30.81,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2763857,7/27/05,10,30.74,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2763855,7/27/05,10,30.71,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2763786,7/27/05,10,30.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2763785,7/27/05,10,30.66,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2763784,7/27/05,10,30.64,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R227751,6/21/05,10,28.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R226084,6/2/05,10,27.33,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2713741,6/2/05,10,26.21,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2713739,6/2/05,10,26.25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2713738,6/2/05,10,26.27,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2713737,6/2/05,10,26.33,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2713736,6/2/05,10,26.39,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2713734,6/2/05,10,26.78,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2713733,6/2/05,10,26.87,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
R231918,5/11/05,10,24.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855472,5/11/05,10,23.2,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
2855471,5/11/05,10,23.4,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,24.647017,93.581543
