,Date,Lat,Long,Type,Value,Unit
0,1980-01-04,41.746667,-87.65055600000002,Air-Lead,0.12,
1,1980-01-10,41.746667,-87.65055600000002,Air-Lead,0.26,
2,1980-01-16,41.746667,-87.65055600000002,Air-Lead,0.46,
3,1980-01-22,41.746667,-87.65055600000002,Air-Lead,0.15,
4,1980-01-28,41.746667,-87.65055600000002,Air-Lead,0.3,
5,1980-02-15,41.746667,-87.65055600000002,Air-Lead,0.11,
6,1980-02-27,41.746667,-87.65055600000002,Air-Lead,0.24,
7,1980-03-03,41.746667,-87.65055600000002,Air-Lead,0.36,
8,1980-03-10,41.746667,-87.65055600000002,Air-Lead,0.12,
9,1980-04-09,41.746667,-87.65055600000002,Air-Lead,0.14,
10,1980-04-15,41.746667,-87.65055600000002,Air-Lead,0.4,
11,1980-04-21,41.746667,-87.65055600000002,Air-Lead,0.49,
12,1980-04-27,41.746667,-87.65055600000002,Air-Lead,0.25,
13,1980-05-03,41.746667,-87.65055600000002,Air-Lead,0.99,
14,1980-05-09,41.746667,-87.65055600000002,Air-Lead,0.41,
15,1980-05-15,41.746667,-87.65055600000002,Air-Lead,0.28,
16,1980-05-21,41.746667,-87.65055600000002,Air-Lead,0.84,
17,1980-05-27,41.746667,-87.65055600000002,Air-Lead,0.42,
18,1980-06-02,41.746667,-87.65055600000002,Air-Lead,0.6,
19,1980-06-08,41.746667,-87.65055600000002,Air-Lead,0.47,
20,1980-06-14,41.746667,-87.65055600000002,Air-Lead,0.61,
21,1980-06-20,41.746667,-87.65055600000002,Air-Lead,0.62,
22,1980-06-26,41.746667,-87.65055600000002,Air-Lead,0.61,
23,1980-07-02,41.746667,-87.65055600000002,Air-Lead,0.17,
24,1980-07-08,41.746667,-87.65055600000002,Air-Lead,0.21,
25,1980-07-14,41.746667,-87.65055600000002,Air-Lead,0.11,
26,1980-07-20,41.746667,-87.65055600000002,Air-Lead,0.04,
27,1980-07-26,41.746667,-87.65055600000002,Air-Lead,0.06,
28,1980-08-01,41.746667,-87.65055600000002,Air-Lead,0.35,
29,1980-08-07,41.746667,-87.65055600000002,Air-Lead,0.25,
30,1980-08-13,41.746667,-87.65055600000002,Air-Lead,0.34,
31,1980-08-19,41.746667,-87.65055600000002,Air-Lead,0.19,
32,1980-08-25,41.746667,-87.65055600000002,Air-Lead,0.48,
33,1980-08-31,41.746667,-87.65055600000002,Air-Lead,0.24,
34,1980-09-06,41.746667,-87.65055600000002,Air-Lead,0.26,
35,1980-09-12,41.746667,-87.65055600000002,Air-Lead,0.36,
36,1980-09-18,41.746667,-87.65055600000002,Air-Lead,0.25,
37,1980-09-24,41.746667,-87.65055600000002,Air-Lead,0.34,
38,1980-10-06,41.746667,-87.65055600000002,Air-Lead,0.46,
39,1980-10-12,41.746667,-87.65055600000002,Air-Lead,0.35,
40,1980-10-18,41.746667,-87.65055600000002,Air-Lead,0.19,
41,1980-10-24,41.746667,-87.65055600000002,Air-Lead,0.16,
42,1980-10-30,41.746667,-87.65055600000002,Air-Lead,0.24,
43,1980-11-05,41.746667,-87.65055600000002,Air-Lead,0.56,
44,1980-11-11,41.746667,-87.65055600000002,Air-Lead,0.47,
45,1980-11-17,41.746667,-87.65055600000002,Air-Lead,0.31,
46,1980-11-23,41.746667,-87.65055600000002,Air-Lead,0.25,
47,1980-11-29,41.746667,-87.65055600000002,Air-Lead,0.37,
48,1980-12-05,41.746667,-87.65055600000002,Air-Lead,0.53,
49,1980-12-11,41.746667,-87.65055600000002,Air-Lead,0.64,
50,1980-12-17,41.746667,-87.65055600000002,Air-Lead,0.26,
51,1980-12-23,41.746667,-87.65055600000002,Air-Lead,0.26,
52,1980-12-29,41.746667,-87.65055600000002,Air-Lead,0.34,
53,1980-01-04,41.738056,-87.57305600000002,Air-Lead,1.17,
54,1980-01-10,41.738056,-87.57305600000002,Air-Lead,0.98,
55,1980-01-16,41.738056,-87.57305600000002,Air-Lead,0.92,
56,1980-01-22,41.738056,-87.57305600000002,Air-Lead,0.15,
57,1980-01-28,41.738056,-87.57305600000002,Air-Lead,0.33,
58,1980-02-03,41.738056,-87.57305600000002,Air-Lead,1.18,
59,1980-02-09,41.738056,-87.57305600000002,Air-Lead,0.4,
60,1980-02-15,41.738056,-87.57305600000002,Air-Lead,0.12,
61,1980-02-21,41.738056,-87.57305600000002,Air-Lead,0.48,
62,1980-02-27,41.738056,-87.57305600000002,Air-Lead,0.41,
63,1980-03-03,41.738056,-87.57305600000002,Air-Lead,0.68,
64,1980-03-10,41.738056,-87.57305600000002,Air-Lead,0.22,
65,1980-04-09,41.738056,-87.57305600000002,Air-Lead,0.19,
66,1980-04-15,41.738056,-87.57305600000002,Air-Lead,0.31,
