,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
0,Z239884,5/21/69,11,78,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water ,24.647017,-93.581543
1491,Z239884,5/21/69,95,53088,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water ,24.647017,-93.581543
1853,Z239884,5/21/69,300,5.5,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
14406,Z239884,5/21/69,945,1850,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
13694,Z239884,5/21/69,940,13700,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
13009,Z239884,5/21/69,665,0.065,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
12647,Z239884,5/21/69,650,0.2,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
12343,Z239884,5/21/69,630,0.4,"NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)",MG/L,Water,353.2,Water ,24.647017,-93.581543
11851,Z239884,5/21/69,620,0.3,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
11687,Z239884,5/21/69,615,0.1,"NITRITE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
11009,Z239884,5/21/69,610,1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
10378,Z239884,5/21/69,535,6,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
9322,Z239884,5/21/69,530,13,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
9309,Z239884,5/21/69,510,7,"RESIDUE, TOTAL FIXED (MG/L)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
9287,Z239884,5/21/69,415,0,"ALKALINITY, PHENOLPHTHALEIN (MG/L)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
8844,Z239884,5/21/69,410,120,"ALKALINITY, TOTAL (MG/L AS CACO3)",MG/L,Water,N/A Calculation,Water ,24.647017,-93.581543
8459,Z239884,5/21/69,403,8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water ,24.647017,-93.581543
