,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
0,Z075790,11/9/71,11,64,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
1279,Z075790,11/9/71,95,310,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
1461,Z075790,11/9/71,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
3681,Z075790,11/9/71,310,1.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
4045,Z075790,11/9/71,400,8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
6230,Z075790,11/9/71,403,9,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
6412,Z075790,11/9/71,410,21,"ALKALINITY, TOTAL (MG/L AS CACO3)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6711,Z076357,11/9/71,415,15.6,"ALKALINITY, PHENOLPHTHALEIN (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6712,Z076357,11/9/71,510,60,"RESIDUE, TOTAL FIXED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
6713,Z076357,11/9/71,530,64,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7144,Z076357,11/9/71,535,1,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8725,Z076357,11/9/71,665,18,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7416,Z076357,11/9/71,610,286,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8554,Z076357,11/9/71,650,7,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
8348,Z076357,11/9/71,630,7.7,"NITRITE PLUS NITRATE, TOTAL ONE LAB DETERMINED VALUE (MG/L AS N)",MG/L,Water,353.2,Water,32.852239,-96.52585
7798,Z076357,11/9/71,615,8.3,"NITRITE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1278,Z075790,11/9/71,80,1,COLOR (PLATINUM-COBALT UNITS),PCU,Water,N/A Calculation,Water,32.852239,-96.52585
1214,Z075790,11/9/71,70,70,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,32.852239,-96.52585
7988,Z076357,11/9/71,620,2,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1463,Z075792,4/25/72,300,8.3,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
3683,Z076358,4/25/72,310,2,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1462,Z075791,4/25/72,300,8.6,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7989,Z075791,4/25/72,620,0.12,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1281,Z076358,4/25/72,95,342,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
1280,Z075791,4/25/72,95,304,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
1,Z075791,4/25/72,11,68,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
1216,Z076358,4/25/72,70,60,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,32.852239,-96.52585
3682,Z075791,4/25/72,310,1,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
1215,Z075791,4/25/72,70,30,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,32.852239,-96.52585
4047,Z075792,4/25/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
4048,Z076358,4/25/72,400,8.6,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
4049,Z076359,4/25/72,400,8.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
2,Z075792,4/25/72,11,70,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,32.852239,-96.52585
9103,Z076359,4/25/72,94,300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
9102,Z076358,4/25/72,94,340,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
9101,Z075792,4/25/72,94,280,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
4046,Z075791,4/25/72,400,8.4,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,32.852239,-96.52585
9100,Z075791,4/25/72,94,300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,32.852239,-96.52585
1464,Z076358,4/25/72,300,7.9,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
7990,Z076358,4/25/72,620,0.16,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
12052,Z075791,4/25/72,32211,55,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11773,Z076358,4/25/72,945,26,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
11772,Z075791,4/25/72,945,20,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,32.852239,-96.52585
