,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
0,Z006628,12/22/69,11,56,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
1089,Z006628,12/22/69,80,14,COLOR (PLATINUM-COBALT UNITS),PCU,Water,N/A Calculation,Water,33.90492,-96.665033
1090,Z006628,12/22/69,95,1800,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
1232,Z006628,12/22/69,300,8,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3279,Z006628,12/22/69,310,2.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3296,Z006628,12/22/69,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
5378,Z006628,12/22/69,403,308,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
5537,Z006628,12/22/69,410,170,"ALKALINITY, TOTAL (MG/L AS CACO3)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1006,Z006628,12/22/69,70,39,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
5379,Z007642,12/8/71,403,8.1,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
1233,Z007642,12/8/71,300,10,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1007,Z007642,12/8/71,70,10,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
3280,Z007642,12/8/71,310,2.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5913,Z007642,12/8/71,940,540,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1091,Z007642,12/8/71,95,2592,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
6352,Z007642,12/8/71,945,238,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1,Z007642,12/8/71,11,48,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
5914,Z007643,1/11/72,940,450,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
2,Z007643,1/11/72,11,51,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
6353,Z007643,1/11/72,945,200,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5380,Z007643,1/11/72,403,7.8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
1092,Z007643,1/11/72,95,2208,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
1008,Z007643,1/11/72,70,10,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
3281,Z007643,1/11/72,310,1.5,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1234,Z007643,1/11/72,300,15,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1009,Z007644,2/16/72,70,20,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.90492,-96.665033
1093,Z007644,2/16/72,95,2409,"SPECIFIC CONDUCTANCE,LAB (UMHOS/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
9685,Z007644,2/16/72,610,0.1,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10967,Z007644,2/16/72,32211,10,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,33.90492,-96.665033
8856,Z007644,2/16/72,530,12,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10897,Z007644,2/16/72,941,500,"CHLORIDE, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
10101,Z007644,2/16/72,620,0.03,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3297,Z007644,2/16/72,400,7.8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
10361,Z007644,2/16/72,650,0.18,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5381,Z007644,2/16/72,403,8,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
10481,Z007644,2/16/72,665,0.059,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5915,Z007644,2/16/72,940,500,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6354,Z007644,2/16/72,945,182,SULFATE (MG/L AS SO4),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6784,Z007644,2/16/72,10,13.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
1235,Z007644,2/16/72,300,10.5,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3282,Z007644,2/16/72,310,2,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
9274,Z007644,2/16/72,535,3,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
