Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
Z009168,9/24/68,11,73.4,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,32211,6,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH,UG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,10,3.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,665,20,"PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,650,69.8,"PHOSPHATE, TOTAL (MG/L AS PO4)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,620,21,"NITRATE NITROGEN, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,94,6,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,940,500,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009168,9/24/68,610,452,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009168,9/24/68,70,21,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009206,9/24/68,70,7,"TURBIDITY, (JACKSON CANDLE UNITS)",JTU,Water,N/A Calculation,Water,33.888817,-98.005991
Z009168,9/24/68,530,7.6,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
Z009168,9/24/68,403,4,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.888817,-98.005991
Z009168,9/24/68,310,6,"BIOCHEMICAL OXYGEN DEMAND (MG/L, 5 DAY - 20DEG C",MG/L,Water,N/A Calculation,Water,33.888817,-98.005991
