Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat ,Long
U702120,9/27/07,3,1,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702122,9/27/07,3,20,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702123,9/27/07,3,30,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702124,9/27/07,3,40,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702125,9/27/07,3,50,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702126,9/27/07,3,60,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702127,9/27/07,3,70,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702128,9/27/07,3,80,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U702129,9/27/07,3,87,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U700951,4/25/07,3,1,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U700952,4/25/07,3,78,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U700957,4/25/07,3,1,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U700958,4/25/07,3,10,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U700967,4/25/07,3,1,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U700968,4/25/07,3,8,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701315,4/25/07,3,10,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701316,4/25/07,3,20,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701317,4/25/07,3,30,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701318,4/25/07,3,40,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701319,4/25/07,3,50,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701320,4/25/07,3,60,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701321,4/25/07,3,70,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701294,6/19/07,3,1,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701295,6/19/07,3,95,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
U701311,6/19/07,3,1,"SAMPLING STATION LOCATION, VERTICAL FEET",FT,Other,N/A Calculation,Water,33.90492,-96.665033
